Neighborhood,GrLivArea,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,LotArea,MSZoning,SalePrice
Blmngtn,511,5,1974,2005,,403,108,1,1,4,TA,2,322.0,10668,RL,217259
Sawyer,1841,1,1904,1939,272.0,784,1057,3,0,4,Gd,0,0.0,2635,RL,198691
NoRidge,715,8,1926,1938,1317.0,521,194,3,0,4,TA,3,516.0,6713,RL,383560
Blmngtn,838,3,1911,1916,397.0,551,287,1,1,3,TA,0,0.0,17796,RL,195145
Gilbert,2299,6,1916,1929,470.0,1514,785,1,1,1,Gd,0,0.0,14723,RL,392262
NAmes,3208,3,1905,1941,984.0,1447,1761,3,0,4,Gd,0,0.0,6594,RL,323117
Veenker,3652,7,1996,2010,1230.0,2410,1242,3,1,1,Gd,1,,11337,RL,527349
Sawyer,2250,7,1904,1918,1133.0,1784,466,3,0,2,Fa,1,218.0,3287,RL,323917
NoRidge,2008,9,1956,2002,1463.0,1535,473,1,1,1,Gd,2,450.0,6129,RL,570947
IDOTRR,2921,5,1927,1930,1301.0,1681,1240,3,1,1,Fa,2,246.0,19669,RL,345125
Edwards,3523,8,1977,2010,1986.0,1465,2058,2,0,4,Fa,2,202.0,12734,RH,591989
MeadowV,1209,10,1968,1983,1591.0,658,551,1,1,5,TA,2,,15848,C (all),507567
OldTown,1723,10,1958,1985,1910.0,1258,465,3,0,5,TA,0,0.0,17936,RL,559825
IDOTRR,3013,8,1932,1947,1938.0,2050,963,1,1,3,Gd,1,216.0,10728,RL,455914
BrDale,1612,1,1961,1964,568.0,940,672,2,0,3,Ex,1,152.0,18307,C (all),225815
Blueste,1791,5,1949,1993,1963.0,755,1036,1,1,5,Gd,1,145.0,4456,RL,301134
OldTown,988,3,2004,2010,1505.0,563,425,3,1,2,TA,1,144.0,12628,RM,224463
NPkVill,2061,1,1918,1945,1826.0,1211,850,2,0,4,Gd,2,216.0,4689,RL,243328
Edwards,546,4,1985,2010,1137.0,421,125,2,1,4,Gd,0,0.0,10758,FV,187611
SawyerW,3859,8,1968,2010,1916.0,2533,1326,3,0,2,Gd,1,150.0,4245,C (all),640204
Gilbert,1277,3,1965,1966,896.0,669,608,3,1,2,Fa,3,654.0,10652,RL,213212
MeadowV,1539,10,1993,2010,819.0,938,601,3,1,5,Gd,0,0.0,11786,RL,526410
NPkVill,1210,2,1946,1948,852.0,515,695,1,0,3,Fa,3,,9932,RL,206802
SWISU,900,9,1938,1945,1500.0,710,190,1,1,2,Gd,0,0.0,3392,RL,457440
Blueste,2317,10,1967,1990,709.0,1260,1057,1,1,3,TA,0,0.0,5059,RL,562332
SawyerW,3528,5,1932,1946,1956.0,2085,1443,3,0,1,Ex,0,0.0,6412,RL,505685
BrkSide,3657,7,1912,1954,320.0,1982,1675,3,1,4,TA,3,348.0,18237,RL,535921
MeadowV,749,2,1983,2010,178.0,504,245,1,0,5,TA,1,135.0,6204,RL,150271
SawyerW,890,9,1953,1961,896.0,591,299,2,0,4,Gd,1,195.0,14558,C (all),486065
CollgCr,834,9,1906,1944,218.0,572,262,1,0,5,TA,3,360.0,2412,RL,329744
Blueste,1128,4,1978,2010,788.0,572,556,2,1,1,TA,1,117.0,4077,RL,228058
NWAmes,636,4,1986,1987,1972.0,334,302,3,1,4,TA,2,490.0,16887,RL,258055
BrkSide,3430,6,1913,1920,1551.0,1543,1887,3,0,1,TA,1,100.0,11325,RL,441652
SWISU,3235,10,1986,1992,491.0,2142,1093,1,1,5,Gd,2,482.0,2614,RL,656160
CollgCr,2021,10,1918,1961,1914.0,840,1181,1,0,2,TA,2,470.0,14862,FV,563314
NAmes,1326,10,1953,1991,60.0,847,479,3,1,4,Fa,2,300.0,12604,RL,469979
OldTown,1226,6,1992,2010,1077.0,916,310,1,0,1,TA,3,534.0,8315,RL,310407
SWISU,2000,1,1919,1934,1703.0,1512,488,3,0,4,Fa,1,135.0,13417,RL,226285
NridgHt,3141,9,1928,1962,537.0,1820,1321,3,1,4,Gd,1,161.0,7010,RL,669772
StoneBr,3794,2,1923,1952,847.0,2214,1580,2,0,4,TA,3,684.0,13888,RM,453097
Timber,1489,5,1981,1990,987.0,641,848,1,0,3,TA,3,552.0,18906,RL,339410
OldTown,2919,9,1962,1999,64.0,1950,969,3,1,1,Ex,1,141.0,16736,RL,590144
Crawfor,1434,4,1973,1990,1635.0,1044,390,1,0,1,TA,3,300.0,16496,RL,270820
Crawfor,3542,3,2004,2010,585.0,1763,1779,2,0,4,TA,3,459.0,19389,RH,415797
CollgCr,901,7,1956,1960,1727.0,512,389,2,1,2,Gd,2,398.0,18201,RL,403427
Mitchel,1966,6,1907,1935,170.0,1446,520,1,0,4,Ex,3,414.0,18904,C (all),382145
Sawyer,1114,8,1989,2010,1296.0,836,278,1,0,3,TA,2,212.0,3806,RL,391924
NWAmes,1796,3,1961,1994,1912.0,893,903,3,0,5,Ex,0,0.0,13372,RL,318991
BrkSide,1682,5,1928,1970,1722.0,1043,639,2,0,3,Ex,2,440.0,17436,RL,319602
NWAmes,3723,10,1973,2010,534.0,1775,1948,2,0,2,Gd,2,288.0,15643,RL,715435
BrkSide,3542,4,1916,1938,1414.0,1561,1981,2,0,4,Gd,3,519.0,6779,RL,430792
OldTown,3167,4,1965,1969,1963.0,2421,746,1,0,1,Fa,1,219.0,11734,RL,358407
NAmes,2735,4,1905,1934,692.0,1991,744,3,0,4,Gd,0,0.0,4390,RL,361206
Veenker,1621,10,1957,1962,1350.0,1141,480,1,1,2,TA,0,0.0,7797,RM,528200
CollgCr,630,8,1968,2010,107.0,264,366,1,0,1,Fa,0,0.0,15991,RL,307044
Edwards,3352,6,1927,1970,1870.0,2472,880,1,0,3,TA,1,145.0,8293,RL,514874
BrDale,1694,3,1961,1964,1185.0,974,720,3,1,5,Gd,0,0.0,2273,RL,218810
BrDale,3483,10,1940,1968,813.0,1870,1613,1,0,5,TA,0,0.0,9557,RL,587347
SWISU,3533,5,1968,1990,1004.0,2185,1348,2,0,4,Gd,1,174.0,7392,RL,452885
Mitchel,682,6,1981,1986,451.0,297,385,2,0,3,Gd,0,0.0,4206,RL,294095
Crawfor,3530,5,1989,2010,1229.0,2480,1050,2,0,2,TA,3,360.0,1870,RL,483154
NAmes,863,6,1983,2010,,546,317,3,0,5,TA,3,738.0,13384,RL,260439
OldTown,538,8,1940,1957,1039.0,255,283,1,0,3,TA,2,404.0,1607,RL,374281
Blmngtn,3044,7,1948,1962,326.0,1446,1598,3,1,4,Fa,2,374.0,5042,C (all),420355
Crawfor,1872,5,1990,2010,607.0,886,986,1,1,1,TA,2,396.0,10274,RL,314191
CollgCr,3529,10,1948,1979,658.0,1492,2037,2,1,4,TA,3,483.0,2065,RL,612750
Crawfor,1420,6,1975,1983,1.0,901,519,1,1,4,TA,3,618.0,10264,RM,331100
Mitchel,3968,4,1970,2006,1033.0,2921,1047,1,1,3,Ex,3,546.0,9035,RL,598696
MeadowV,3269,9,1902,1911,433.0,1330,1939,1,0,5,Gd,2,310.0,17502,RL,580905
IDOTRR,3732,4,1909,1928,124.0,1565,2167,3,0,3,TA,2,242.0,15731,RL,445569
Crawfor,515,1,1997,2002,1104.0,323,192,1,0,1,TA,2,334.0,12677,C (all),205134
CollgCr,992,7,1988,2010,484.0,721,271,1,0,3,Gd,2,218.0,14574,FV,334561
Mitchel,1949,7,1934,1936,651.0,1034,915,1,0,2,Gd,2,330.0,15597,RM,464138
BrDale,1631,4,1979,2010,1861.0,880,751,3,1,4,Gd,2,214.0,9336,RL,281441
IDOTRR,3441,3,1901,1911,1173.0,2197,1244,3,1,5,TA,3,666.0,8896,RL,337311
NWAmes,810,8,1923,1965,799.0,412,398,3,0,1,TA,1,137.0,18223,RL,373935
BrkSide,1238,5,1973,1989,872.0,508,730,1,0,4,Fa,1,222.0,3349,RL,236012
MeadowV,3741,10,1937,1968,1363.0,2596,1145,2,0,3,TA,2,322.0,5975,FV,689479
MeadowV,1045,7,1921,1924,128.0,679,366,2,1,2,TA,1,237.0,2963,RL,286276
Sawyer,2961,4,1925,1928,437.0,1872,1089,2,1,3,Gd,1,144.0,7776,RL,344654
SawyerW,750,4,1942,1958,750.0,522,228,1,0,4,Gd,3,492.0,13328,C (all),271153
StoneBr,1258,8,1954,1994,500.0,842,416,2,1,1,Gd,2,332.0,16377,RM,429849
NWAmes,2304,8,1938,1956,1081.0,1111,1193,2,0,5,TA,2,472.0,8443,RL,427288
Timber,3712,2,1990,1994,1221.0,2008,1704,2,1,4,Gd,1,232.0,3210,RL,423060
ClearCr,1797,2,1928,1959,210.0,809,988,1,1,1,TA,2,410.0,2032,RL,229119
NoRidge,3987,3,2001,2010,1937.0,1801,2186,2,0,4,TA,2,474.0,5909,RL,474187
Mitchel,2131,3,1919,1924,901.0,1428,703,2,1,2,Gd,2,478.0,12434,RL,316794
BrDale,2414,1,1990,2010,44.0,1794,620,1,1,3,Fa,2,362.0,5756,RL,228250
NWAmes,3610,3,1940,1961,1120.0,2834,776,3,0,5,TA,1,,15812,RH,448870
SawyerW,1313,6,1953,1953,1302.0,855,458,2,1,1,Gd,0,0.0,4635,RL,329438
MeadowV,528,8,1919,1938,534.0,250,278,3,0,5,Gd,1,248.0,16845,RL,318799
NridgHt,1457,10,2007,2010,1433.0,644,813,2,1,5,TA,3,690.0,14114,RL,611163
NoRidge,2532,6,1918,1965,460.0,1836,696,1,0,5,Gd,0,0.0,8356,RL,405358
SawyerW,976,5,1983,1993,390.0,616,360,3,0,1,Ex,0,0.0,4053,RL,281077
NWAmes,817,4,1998,2010,1870.0,528,289,3,1,1,TA,0,0.0,2672,FV,215948
StoneBr,744,3,1965,2006,1067.0,530,214,3,1,5,Fa,1,171.0,15534,C (all),194288
Blmngtn,1247,4,1929,1931,26.0,849,398,3,0,3,Gd,3,348.0,10936,RL,270757
Veenker,1196,7,1952,1960,793.0,877,319,2,1,4,Fa,1,172.0,4676,C (all),284067
Sawyer,771,1,1933,1944,1120.0,325,446,2,1,5,TA,3,507.0,9781,RL,173372
SawyerW,2271,7,1921,1943,974.0,1587,684,3,1,2,Gd,1,212.0,11557,RL,440354
Blueste,1762,1,1966,1979,547.0,1304,458,2,0,5,TA,1,120.0,17747,RL,264782
NPkVill,2924,2,1905,1937,620.0,1504,1420,3,0,1,Gd,1,234.0,18013,C (all),316985
Somerst,765,4,1978,1995,,501,264,3,0,4,Gd,0,0.0,6158,RL,235403
NAmes,3473,1,1926,1974,703.0,1825,1648,1,1,2,TA,1,210.0,19647,RL,339767
NAmes,1420,9,1909,1949,1242.0,1112,308,3,1,4,TA,3,378.0,17824,RM,383549
ClearCr,3930,6,1972,1980,184.0,1624,2306,2,0,4,Gd,3,321.0,14919,RL,529157
NridgHt,839,1,1996,2010,1092.0,530,309,3,0,2,Fa,3,381.0,5839,RL,200461
BrDale,888,1,1995,2004,1852.0,414,474,1,1,5,TA,0,0.0,6894,RL,191913
Blueste,3124,6,1947,1965,1153.0,2139,985,2,1,5,Fa,1,185.0,5203,RL,357733
NWAmes,2550,4,1969,2010,1590.0,1199,1351,1,1,5,Gd,1,109.0,6664,RL,348973
CollgCr,1665,4,2004,2008,1913.0,822,843,1,1,3,Fa,2,,1749,RL,309071
CollgCr,875,6,1958,2004,1632.0,523,352,3,0,5,Gd,0,0.0,6106,FV,303539
Blueste,2533,7,1999,2010,847.0,1940,593,1,1,2,Ex,3,702.0,2169,RL,425172
Blueste,2871,9,1958,1987,598.0,1391,1480,1,1,3,TA,3,690.0,7379,RL,566428
ClearCr,645,10,1901,1925,805.0,295,350,2,0,5,TA,1,113.0,8607,RL,481304
SawyerW,2481,5,1928,1955,1654.0,1745,736,1,0,3,TA,3,435.0,4959,RM,393330
BrkSide,792,9,1967,2000,1743.0,475,317,3,1,2,Gd,1,160.0,4902,FV,419084
Crawfor,931,4,1964,2008,1357.0,711,220,3,0,5,Ex,1,112.0,9884,RL,285988
NWAmes,1204,10,1982,2010,1948.0,552,652,3,1,1,TA,2,230.0,15685,RL,565398
Somerst,3496,2,1925,1971,1177.0,2301,1195,1,1,2,Gd,0,0.0,12283,RM,418124
OldTown,2498,3,1988,2010,,1231,1267,2,0,4,TA,1,137.0,6431,RM,300001
BrkSide,3132,1,1909,1918,78.0,1449,1683,3,0,4,Gd,1,137.0,2658,RL,309819
Mitchel,898,6,1952,1965,578.0,604,294,1,1,2,Fa,1,202.0,18071,RL,247099
CollgCr,3364,6,1978,2010,1878.0,2144,1220,3,0,4,TA,2,310.0,14903,RL,404291
StoneBr,3915,1,1958,2003,412.0,2748,1167,3,1,2,TA,1,162.0,17546,RL,438526
Sawyer,1463,3,1921,1950,545.0,766,697,2,1,1,Fa,0,0.0,18516,FV,186400
NAmes,3711,5,1950,1990,1632.0,2149,1562,3,1,2,TA,0,0.0,9741,RL,429494
SWISU,2734,3,1947,1971,168.0,1537,1197,2,0,5,Ex,3,612.0,11519,RL,384986
MeadowV,2541,10,1920,1933,680.0,2016,525,1,1,5,Ex,0,0.0,11020,RL,624970
Blmngtn,2328,3,1921,1955,1686.0,1203,1125,3,1,3,TA,3,528.0,19522,RL,349208
SWISU,2608,10,1999,2010,582.0,1350,1258,1,1,4,Gd,0,,10852,RL,733798
BrkSide,1438,3,1997,2010,514.0,779,659,1,0,4,TA,3,462.0,12601,RL,264947
ClearCr,3951,5,1929,1938,1337.0,2472,1479,1,1,2,Gd,1,154.0,10815,RL,457295
Timber,1209,5,1924,1958,31.0,605,604,3,1,4,Gd,2,456.0,2191,RL,231822
Timber,1306,4,2008,2010,286.0,1000,306,2,1,5,TA,2,470.0,18989,RL,299894
ClearCr,1963,1,1927,1937,593.0,993,970,3,0,1,Fa,2,452.0,16385,RM,235645
NAmes,3890,5,1964,1984,1066.0,2949,941,1,1,2,TA,1,231.0,5492,FV,391111
NWAmes,1825,10,1944,1964,1926.0,805,1020,2,1,4,Fa,2,368.0,17428,RL,564823
Veenker,3915,5,1967,1988,616.0,2594,1321,1,0,5,Fa,0,0.0,19477,RM,449514
Crawfor,510,4,1906,1950,1024.0,389,121,2,0,3,Gd,3,471.0,11662,RL,222312
Timber,1585,6,1948,1954,1596.0,740,845,3,1,4,Gd,1,136.0,18008,RL,448270
Mitchel,2368,10,1908,1924,269.0,1864,504,2,1,1,TA,2,296.0,10477,RH,599796
Timber,2773,4,1935,1936,1203.0,1611,1162,3,1,1,TA,0,0.0,7944,RL,320163
SWISU,3724,7,1982,1993,1759.0,2898,826,1,0,4,TA,0,0.0,6082,RL,563271
Timber,3111,7,1900,1941,517.0,2086,1025,2,0,4,Fa,1,228.0,11352,FV,418386
Timber,1271,2,1909,1926,1126.0,661,610,1,1,5,Ex,1,128.0,5198,RM,273618
Veenker,2094,3,1935,1945,1033.0,995,1099,2,0,4,Gd,2,372.0,18519,RL,355756
Veenker,2107,1,1972,1987,582.0,1098,1009,3,1,3,TA,3,396.0,5454,RH,291239
Blmngtn,1833,8,2008,2010,1113.0,801,1032,2,1,5,Gd,2,,4078,RL,487484
BrDale,1384,9,1945,1962,225.0,633,751,2,0,2,Gd,2,464.0,15109,RL,412965
Mitchel,3814,4,2005,2010,669.0,1685,2129,3,1,3,Gd,1,170.0,7709,RL,426312
CollgCr,1889,6,1931,1956,1763.0,1075,814,3,0,5,Ex,2,466.0,13823,RL,445546
CollgCr,3901,9,1931,1946,916.0,2801,1100,3,0,5,TA,2,242.0,5613,RL,549828
StoneBr,3678,6,1905,1910,125.0,1679,1999,2,1,1,TA,3,528.0,8908,RL,489051
Veenker,725,9,1947,1990,,327,398,1,0,5,TA,0,0.0,15017,RL,383504
NPkVill,1324,4,1937,1979,1232.0,870,454,2,1,3,TA,0,0.0,13164,RL,246539
NAmes,2765,8,1916,1962,1120.0,1324,1441,2,0,4,Gd,3,681.0,12514,RL,546744
Somerst,1436,9,1973,2010,73.0,630,806,1,1,3,TA,0,,14176,RL,441417
BrDale,3300,4,1926,1973,1650.0,1540,1760,3,1,2,Gd,2,470.0,19355,FV,428510
NoRidge,3053,5,1953,1994,1214.0,2349,704,2,1,5,Gd,3,576.0,2216,RL,450309
BrDale,2806,8,1949,1960,1705.0,2044,762,1,0,5,Gd,3,312.0,10625,RL,486426
NridgHt,2411,10,1934,1946,1842.0,1305,1106,3,1,5,TA,1,203.0,19520,RL,672318
SWISU,2296,6,1984,1987,1983.0,1520,776,3,0,5,Fa,0,0.0,19822,RM,395406
Timber,553,7,1924,1962,1739.0,340,213,2,0,1,TA,1,186.0,5307,RL,336514
Somerst,3618,3,1927,1928,55.0,2427,1191,3,0,1,TA,2,472.0,19589,RL,453845
SWISU,1226,7,1914,1939,719.0,825,401,3,0,4,Gd,3,687.0,4785,RL,332511
Mitchel,3236,8,1903,1929,552.0,2108,1128,1,0,5,TA,2,324.0,12261,RL,430177
ClearCr,2044,10,1992,2010,31.0,1035,1009,1,1,2,TA,0,0.0,19005,RL,533017
Veenker,3670,6,1972,1986,1550.0,1525,2145,3,0,4,Gd,1,215.0,13208,RL,572039
Somerst,1543,10,1926,1933,573.0,898,645,1,1,5,Gd,0,0.0,4654,FV,529443
Blmngtn,2413,9,1925,1931,666.0,1825,588,3,1,1,TA,2,260.0,14809,RL,461453
NridgHt,2276,6,1918,1964,283.0,1428,848,2,0,2,TA,1,106.0,8401,C (all),324152
Edwards,2096,9,1991,2010,1744.0,1536,560,1,1,4,TA,0,0.0,6043,FV,556240
Edwards,2414,4,1916,1955,1855.0,1923,491,3,1,2,TA,2,300.0,10251,FV,338921
CollgCr,2966,8,1942,1953,1517.0,1380,1586,3,0,5,Fa,0,0.0,8314,FV,443528
BrkSide,3237,4,1940,1952,186.0,2190,1047,1,1,3,Gd,3,516.0,4712,RM,430327
Somerst,1349,2,1941,1983,497.0,903,446,1,0,2,Ex,1,109.0,19041,RL,330984
Edwards,2609,10,1949,1965,1465.0,2066,543,2,0,2,Gd,1,160.0,10440,RL,664243
Crawfor,3716,9,1983,1999,129.0,2951,765,3,0,1,Gd,1,149.0,11571,RL,677396
ClearCr,2763,5,2008,2010,638.0,1864,899,2,1,5,TA,3,663.0,19450,C (all),437676
NoRidge,502,4,1939,1959,1315.0,249,253,2,1,2,TA,1,100.0,9519,RL,243510
StoneBr,659,2,1938,1945,113.0,474,185,2,1,5,TA,3,,8463,RL,217673
Crawfor,1280,1,1922,1926,1222.0,566,714,1,1,1,Gd,1,178.0,3770,RL,195493
StoneBr,3691,7,1995,2010,12.0,2629,1062,2,0,5,Fa,0,0.0,12030,RM,457669
ClearCr,1392,6,1951,1966,1294.0,1063,329,1,0,1,Ex,0,0.0,17843,RM,388845
NWAmes,2530,2,1946,1981,1624.0,1399,1131,1,1,1,Gd,0,0.0,5413,RL,324914
ClearCr,3660,8,1962,1989,1238.0,2387,1273,2,0,4,TA,0,0.0,14714,RL,639505
BrkSide,2876,4,1996,2010,443.0,1645,1231,2,1,5,TA,3,678.0,9049,RL,373101
CollgCr,1079,8,2009,2010,1813.0,620,459,3,0,3,Gd,2,422.0,13214,RL,480605
OldTown,2433,7,1968,1979,1535.0,1275,1158,2,0,4,Ex,2,470.0,16307,RL,545159
NWAmes,1880,5,1942,1978,446.0,1325,555,3,0,1,TA,0,0.0,13223,RL,304115
Gilbert,1790,10,1947,1976,985.0,1386,404,2,0,3,Ex,2,278.0,14342,RH,618851
OldTown,2140,10,1933,1955,992.0,1661,479,2,0,2,Gd,2,376.0,19254,RL,598611
CollgCr,1451,8,1939,1954,714.0,681,770,2,1,2,TA,1,140.0,14481,RL,391397
NridgHt,3894,9,1974,1987,73.0,2920,974,2,1,4,Gd,3,717.0,13430,RM,644640
Blueste,3182,5,1960,1969,536.0,2211,971,3,0,3,Gd,0,0.0,4705,RL,404918
Blueste,1487,10,1949,1955,100.0,745,742,3,1,5,Gd,2,398.0,12162,RL,505518
Gilbert,1718,5,1966,2010,175.0,733,985,2,0,3,Fa,2,432.0,16549,RL,330334
BrDale,1420,2,1961,1997,,720,700,2,0,4,Fa,0,0.0,14239,FV,175698
Sawyer,3285,5,1957,1985,1140.0,2512,773,3,0,5,Gd,1,192.0,15267,RL,482348
Crawfor,1855,3,1932,1934,1189.0,1211,644,1,0,5,Gd,0,0.0,7148,RL,250228
NWAmes,669,7,1974,1988,40.0,460,209,1,1,2,Gd,1,159.0,8117,RH,281229
Edwards,1020,10,1915,1950,428.0,512,508,1,0,3,Gd,2,334.0,19311,RM,488414
